dayofweek,home_team,score,away_team,home_goals,away_goals,result,home_goals_total_home,away_goals_total_home,home_conceded_home,away_conceded_home,goalsScored_home,goalsConceded_home,home_goals_total_away,away_goals_total_away,home_conceded_away,away_conceded_away,goalsScored_away,goalsConceded_away
Jue,Santos,2–1,Monterrey,2,1,1,321,220,214,297,541,511,354,254,181,257,608,438
Sáb,Puebla,1–0,Atlas,1,0,1,242,188,242,271,430,513,198,201,207,268,399,475
Dom,Monterrey,1–1,Santos,1,1,-1,354,254,181,257,608,438,321,220,214,297,541,511
Sáb,Cruz Azul,3–1,Toluca,3,1,1,264,211,193,227,475,420,332,212,216,283,544,499
Dom,América,4–2,Pachuca,4,2,1,363,310,198,246,673,444,329,249,197,272,578,469
Mié,Pachuca,0–0,Cruz Azul,0,0,-1,329,249,197,272,578,469,264,211,193,227,475,420
Jue,Santos,3–0,Puebla,3,0,1,321,220,214,297,541,511,242,188,242,271,430,513
Sáb,Cruz Azul,1–0,Pachuca,1,0,1,264,211,193,227,475,420,329,249,197,272,578,469
Dom,Puebla,1–0,Santos,1,0,1,242,188,242,271,430,513,321,220,214,297,541,511
Jue,Santos,0–1,Cruz Azul,0,1,0,321,220,214,297,541,511,264,211,193,227,475,420
Dom,Cruz Azul,1–1,Santos,1,1,-1,264,211,193,227,475,420,321,220,214,297,541,511
Jue,Querétaro,0–0,América,0,0,-1,215,184,206,294,399,500,363,310,198,246,673,444
Sáb,Pachuca,4–0,León,4,0,1,329,249,197,272,578,469,332,240,225,278,572,503
Vie,Necaxa,0–3,Santos,0,3,0,181,164,174,202,345,376,321,220,214,297,541,511
Vie,FC Juárez,1–3,Toluca,1,3,0,96,71,107,145,167,252,332,212,216,283,544,499
Dom,UNAM,0–0,Atlas,0,0,-1,294,206,204,301,500,505,198,201,207,268,399,475
Sáb,Guadalajara,1–2,Atlético,1,2,0,233,212,204,222,445,426,109,106,136,150,215,286
Dom,Monterrey,1–1,Puebla,1,1,-1,354,254,181,257,608,438,242,188,242,271,430,513
Dom,Tijuana,1–2,UANL,1,2,0,247,160,200,308,407,508,367,253,189,214,620,403
Lun,Cruz Azul,0–2,Mazatlán,0,2,0,264,211,193,227,475,420,90,76,96,137,166,233
Sáb,León,2–1,Tijuana,2,1,1,332,240,225,278,572,503,247,160,200,308,407,508
Vie,Mazatlán,2–1,Pachuca,2,1,1,90,76,96,137,166,233,329,249,197,272,578,469
Vie,Puebla,0–2,Guadalajara,0,2,0,242,188,242,271,430,513,233,212,204,222,445,426
Dom,Toluca,3–1,UANL,3,1,1,332,212,216,283,544,499,367,253,189,214,620,403
Dom,Santos,1–1,Cruz Azul,1,1,-1,321,220,214,297,541,511,264,211,193,227,475,420
Sáb,América,2–1,Necaxa,2,1,1,363,310,198,246,673,444,181,164,174,202,345,376
Sáb,Monterrey,2–0,UNAM,2,0,1,354,254,181,257,608,438,294,206,204,301,500,505
Sáb,Atlas,2–0,FC Juárez,2,0,1,198,201,207,268,399,475,96,71,107,145,167,252
Lun,Atlético,1–1,Querétaro,1,1,-1,109,106,136,150,215,286,215,184,206,294,399,500
Jue,Querétaro,0–1,León,0,1,0,215,184,206,294,399,500,332,240,225,278,572,503
Sáb,Guadalajara,2–2,FC Juárez,2,2,-1,233,212,204,222,445,426,96,71,107,145,167,252
Vie,Mazatlán,1–1,Monterrey,1,1,-1,90,76,96,137,166,233,354,254,181,257,608,438
Vie,Tijuana,0–2,Toluca,0,2,0,247,160,200,308,407,508,332,212,216,283,544,499
Vie,Necaxa,1–2,Cruz Azul,1,2,0,181,164,174,202,345,376,264,211,193,227,475,420
Dom,UNAM,1–3,Atlético,1,3,0,294,206,204,301,500,505,109,106,136,150,215,286
Sáb,América,2–0,Puebla,2,0,1,363,310,198,246,673,444,242,188,242,271,430,513
Sáb,UANL,1–1,Santos,1,1,-1,367,253,189,214,620,403,321,220,214,297,541,511
Lun,Pachuca,0–1,Atlas,0,1,0,329,249,197,272,578,469,198,201,207,268,399,475
Jue,Atlético,0–2,Necaxa,0,2,0,109,106,136,150,215,286,181,164,174,202,345,376
Sáb,UNAM,0–0,Querétaro,0,0,-1,294,206,204,301,500,505,215,184,206,294,399,500
Vie,Puebla,1–1,UANL,1,1,-1,242,188,242,271,430,513,367,253,189,214,620,403
Vie,FC Juárez,1–1,Tijuana,1,1,-1,96,71,107,145,167,252,247,160,200,308,407,508
Dom,Atlas,0–1,América,0,1,0,198,201,207,268,399,475,363,310,198,246,673,444
Sáb,León,3–0,Mazatlán,3,0,1,332,240,225,278,572,503,90,76,96,137,166,233
Sáb,Cruz Azul,4–0,Toluca,4,0,1,264,211,193,227,475,420,332,212,216,283,544,499
Sáb,Monterrey,3–1,Pachuca,3,1,1,354,254,181,257,608,438,329,249,197,272,578,469
Dom,Santos,0–0,Guadalajara,0,0,-1,321,220,214,297,541,511,233,212,204,222,445,426
Mar,Toluca,2–2,Mazatlán,2,2,-1,332,212,216,283,544,499,90,76,96,137,166,233
Mar,UANL,3–0,Querétaro,3,0,1,367,253,189,214,620,403,215,184,206,294,399,500
Mar,Tijuana,1–1,Puebla,1,1,-1,247,160,200,308,407,508,242,188,242,271,430,513
Mar,Necaxa,3–0,UNAM,3,0,1,181,164,174,202,345,376,294,206,204,301,500,505
Mié,Santos,1–1,Atlas,1,1,-1,321,220,214,297,541,511,198,201,207,268,399,475
Mié,Cruz Azul,1–1,Monterrey,1,1,-1,264,211,193,227,475,420,354,254,181,257,608,438
Mié,FC Juárez,1–2,América,1,2,0,96,71,107,145,167,252,363,310,198,246,673,444
Mié,Guadalajara,0–3,León,0,3,0,233,212,204,222,445,426,332,240,225,278,572,503
Sáb,Atlas,0–0,Toluca,0,0,-1,198,201,207,268,399,475,332,212,216,283,544,499
Vie,Mazatlán,0–3,UANL,0,3,0,90,76,96,137,166,233,367,253,189,214,620,403
Dom,UNAM,2–0,Puebla,2,0,1,294,206,204,301,500,505,242,188,242,271,430,513
Dom,América,2–0,Tijuana,2,0,1,363,310,198,246,673,444,247,160,200,308,407,508
Sáb,León,1–1,Santos,1,1,-1,332,240,225,278,572,503,321,220,214,297,541,511
Sáb,Atlético,0–0,Cruz Azul,0,0,-1,109,106,136,150,215,286,264,211,193,227,475,420
Sáb,Monterrey,0–0,Guadalajara,0,0,-1,354,254,181,257,608,438,233,212,204,222,445,426
Dom,Necaxa,1–0,FC Juárez,1,0,1,181,164,174,202,345,376,96,71,107,145,167,252
Dom,Querétaro,0–2,Pachuca,0,2,0,215,184,206,294,399,500,329,249,197,272,578,469
Sáb,Guadalajara,2–1,Necaxa,2,1,1,233,212,204,222,445,426,181,164,174,202,345,376
Vie,Mazatlán,2–2,Atlético,2,2,-1,90,76,96,137,166,233,109,106,136,150,215,286
Vie,Tijuana,2–2,Monterrey,2,2,-1,247,160,200,308,407,508,354,254,181,257,608,438
Vie,Puebla,1–0,Querétaro,1,0,1,242,188,242,271,430,513,215,184,206,294,399,500
Dom,Toluca,2–1,UNAM,2,1,1,332,212,216,283,544,499,294,206,204,301,500,505
Dom,Santos,2–0,FC Juárez,2,0,1,321,220,214,297,541,511,96,71,107,145,167,252
Sáb,UANL,1–1,Atlas,1,1,-1,367,253,189,214,620,403,198,201,207,268,399,475
Sáb,León,1–1,América,1,1,-1,332,240,225,278,572,503,363,310,198,246,673,444
Dom,Cruz Azul,1–1,Pachuca,1,1,-1,264,211,193,227,475,420,329,249,197,272,578,469
Sáb,Atlas,2–1,Monterrey,2,1,1,198,201,207,268,399,475,354,254,181,257,608,438
Vie,Puebla,2–2,Atlético,2,2,-1,242,188,242,271,430,513,109,106,136,150,215,286
Vie,Tijuana,2–1,Santos,2,1,1,247,160,200,308,407,508,321,220,214,297,541,511
Vie,FC Juárez,2–1,Cruz Azul,2,1,1,96,71,107,145,167,252,264,211,193,227,475,420
Dom,UNAM,0–0,Guadalajara,0,0,-1,294,206,204,301,500,505,233,212,204,222,445,426
Sáb,UANL,2–2,León,2,2,-1,367,253,189,214,620,403,332,240,225,278,572,503
Sáb,América,2–0,Mazatlán,2,0,1,363,310,198,246,673,444,90,76,96,137,166,233
Dom,Querétaro,3–0,Necaxa,3,0,1,215,184,206,294,399,500,181,164,174,202,345,376
Lun,Pachuca,1–2,Toluca,1,2,0,329,249,197,272,578,469,332,212,216,283,544,499
Jue,Atlético,4–1,Tijuana,4,1,1,109,106,136,150,215,286,247,160,200,308,407,508
Sáb,León,0–1,FC Juárez,0,1,0,332,240,225,278,572,503,96,71,107,145,167,252
Vie,Necaxa,0–3,Atlas,0,3,0,181,164,174,202,345,376,198,201,207,268,399,475
Sáb,Toluca,3–1,América,3,1,1,332,212,216,283,544,499,363,310,198,246,673,444
Sáb,Mazatlán,2–2,UNAM,2,2,-1,90,76,96,137,166,233,294,206,204,301,500,505
Sáb,Guadalajara,1–0,Pachuca,1,0,1,233,212,204,222,445,426,329,249,197,272,578,469
Dom,Cruz Azul,2–0,Querétaro,2,0,1,264,211,193,227,475,420,215,184,206,294,399,500
Dom,Monterrey,2–0,UANL,2,0,1,354,254,181,257,608,438,367,253,189,214,620,403
Dom,Santos,1–1,Puebla,1,1,-1,321,220,214,297,541,511,242,188,242,271,430,513
Mar,FC Juárez,1–0,Atlético,1,0,1,96,71,107,145,167,252,109,106,136,150,215,286
Mié,Monterrey,2–0,Toluca,2,0,1,354,254,181,257,608,438,332,212,216,283,544,499
Jue,Pachuca,1–0,Necaxa,1,0,1,329,249,197,272,578,469,181,164,174,202,345,376
Sáb,Atlas,2–0,León,2,0,1,198,201,207,268,399,475,332,240,225,278,572,503
Vie,Tijuana,0–0,Mazatlán,0,0,-1,247,160,200,308,407,508,90,76,96,137,166,233
Vie,Puebla,1–1,Cruz Azul,1,1,-1,242,188,242,271,430,513,264,211,193,227,475,420
Dom,Toluca,1–2,Atlético,1,2,0,332,212,216,283,544,499,109,106,136,150,215,286
Sáb,UANL,0–0,UNAM,0,0,-1,367,253,189,214,620,403,294,206,204,301,500,505
Sáb,América,0–0,Guadalajara,0,0,-1,363,310,198,246,673,444,233,212,204,222,445,426
Dom,Santos,1–2,Monterrey,1,2,0,321,220,214,297,541,511,354,254,181,257,608,438
Mar,Necaxa,3–0,Tijuana,3,0,1,181,164,174,202,345,376,247,160,200,308,407,508
Mié,Atlético,0–3,UANL,0,3,0,109,106,136,150,215,286,367,253,189,214,620,403
Mar,Mazatlán,3–1,FC Juárez,3,1,1,90,76,96,137,166,233,96,71,107,145,167,252
Mar,Atlas,0–1,Puebla,0,1,0,198,201,207,268,399,475,242,188,242,271,430,513
Mar,Pachuca,1–1,América,1,1,-1,329,249,197,272,578,469,363,310,198,246,673,444
Mié,Querétaro,1–0,Guadalajara,1,0,1,215,184,206,294,399,500,233,212,204,222,445,426
Sáb,León,0–0,Atlético,0,0,-1,332,240,225,278,572,503,109,106,136,150,215,286
Vie,Puebla,1–2,Pachuca,1,2,0,242,188,242,271,430,513,329,249,197,272,578,469
Vie,FC Juárez,3–1,Monterrey,3,1,1,96,71,107,145,167,252,354,254,181,257,608,438
Dom,Toluca,1–1,Querétaro,1,1,-1,332,212,216,283,544,499,215,184,206,294,399,500
Dom,América,2–0,UNAM,2,0,1,363,310,198,246,673,444,294,206,204,301,500,505
Sáb,Santos,1–0,Mazatlán,1,0,1,321,220,214,297,541,511,90,76,96,137,166,233
Sáb,Guadalajara,0–1,Atlas,0,1,0,233,212,204,222,445,426,198,201,207,268,399,475
Dom,UANL,0–0,Necaxa,0,0,-1,367,253,189,214,620,403,181,164,174,202,345,376
Dom,Tijuana,0–1,Cruz Azul,0,1,0,247,160,200,308,407,508,264,211,193,227,475,420
Vie,FC Juárez,0–0,Querétaro,0,0,-1,96,71,107,145,167,252,215,184,206,294,399,500
Jue,Querétaro,1–1,Tijuana,1,1,-1,215,184,206,294,399,500,247,160,200,308,407,508
Sáb,Monterrey,0–1,León,0,1,0,354,254,181,257,608,438,332,240,225,278,572,503
Vie,Necaxa,0–1,Puebla,0,1,0,181,164,174,202,345,376,242,188,242,271,430,513
Vie,Mazatlán,1–0,Atlas,1,0,1,90,76,96,137,166,233,198,201,207,268,399,475
Dom,UNAM,1–0,FC Juárez,1,0,1,294,206,204,301,500,505,96,71,107,145,167,252
Dom,Guadalajara,2–0,Toluca,2,0,1,233,212,204,222,445,426,332,212,216,283,544,499
Sáb,Atlético,0–1,América,0,1,0,109,106,136,150,215,286,363,310,198,246,673,444
Sáb,Pachuca,1–1,Santos,1,1,-1,329,249,197,272,578,469,321,220,214,297,541,511
Sáb,Cruz Azul,1–1,UANL,1,1,-1,264,211,193,227,475,420,367,253,189,214,620,403
Mar,Querétaro,1–0,Monterrey,1,0,1,215,184,206,294,399,500,354,254,181,257,608,438
Mar,Puebla,2–0,Mazatlán,2,0,1,242,188,242,271,430,513,90,76,96,137,166,233
Mar,América,2–1,Santos,2,1,1,363,310,198,246,673,444,321,220,214,297,541,511
Mar,Atlas,0–0,Cruz Azul,0,0,-1,198,201,207,268,399,475,264,211,193,227,475,420
Mié,León,1–2,UNAM,1,2,0,332,240,225,278,572,503,294,206,204,301,500,505
Mié,Toluca,1–1,Necaxa,1,1,-1,332,212,216,283,544,499,181,164,174,202,345,376
Mié,Tijuana,0–0,Guadalajara,0,0,-1,247,160,200,308,407,508,233,212,204,222,445,426
Mié,UANL,3–0,Pachuca,3,0,1,367,253,189,214,620,403,329,249,197,272,578,469
Sáb,Puebla,0–1,León,0,1,0,242,188,242,271,430,513,332,240,225,278,572,503
Sáb,Monterrey,0–1,Necaxa,0,1,0,354,254,181,257,608,438,181,164,174,202,345,376
Vie,Mazatlán,2–1,Querétaro,2,1,1,90,76,96,137,166,233,215,184,206,294,399,500
Dom,UNAM,3–1,Tijuana,3,1,1,294,206,204,301,500,505,247,160,200,308,407,508
Sáb,América,1–0,UANL,1,0,1,363,310,198,246,673,444,367,253,189,214,620,403
Sáb,Guadalajara,1–1,Cruz Azul,1,1,-1,233,212,204,222,445,426,264,211,193,227,475,420
Dom,Atlético,2–6,Atlas,2,6,0,109,106,136,150,215,286,198,201,207,268,399,475
Dom,Santos,2–2,Toluca,2,2,-1,321,220,214,297,541,511,332,212,216,283,544,499
Dom,Pachuca,1–1,FC Juárez,1,1,-1,329,249,197,272,578,469,96,71,107,145,167,252
Jue,Atlas,0–2,Tijuana,0,2,0,198,201,207,268,399,475,247,160,200,308,407,508
Sáb,Querétaro,2–3,Santos,2,3,0,215,184,206,294,399,500,321,220,214,297,541,511
Vie,Necaxa,2–1,Mazatlán,2,1,1,181,164,174,202,345,376,90,76,96,137,166,233
Vie,FC Juárez,0–2,Puebla,0,2,0,96,71,107,145,167,252,242,188,242,271,430,513
Dom,Toluca,0–0,León,0,0,-1,332,212,216,283,544,499,332,240,225,278,572,503
Dom,Cruz Azul,2–1,América,2,1,1,264,211,193,227,475,420,363,310,198,246,673,444
Sáb,Pachuca,1–1,UNAM,1,1,-1,329,249,197,272,578,469,294,206,204,301,500,505
Sáb,UANL,2–1,Guadalajara,2,1,1,367,253,189,214,620,403,233,212,204,222,445,426
Dom,Atlético,1–1,Monterrey,1,1,-1,109,106,136,150,215,286,354,254,181,257,608,438
Mié,Pachuca,0–0,Atlético,0,0,-1,329,249,197,272,578,469,109,106,136,150,215,286
Mié,Cruz Azul,0–1,León,0,1,0,264,211,193,227,475,420,332,240,225,278,572,503
Jue,UNAM,0–3,Santos,0,3,0,294,206,204,301,500,505,321,220,214,297,541,511
Jue,Atlas,2–0,Querétaro,2,0,1,198,201,207,268,399,475,215,184,206,294,399,500
Sáb,León,3–0,Necaxa,3,0,1,332,240,225,278,572,503,181,164,174,202,345,376
Vie,Puebla,1–0,Toluca,1,0,1,242,188,242,271,430,513,332,212,216,283,544,499
Vie,Mazatlán,0–1,Guadalajara,0,1,0,90,76,96,137,166,233,233,212,204,222,445,426
Dom,UNAM,4–3,Cruz Azul,4,3,1,294,206,204,301,500,505,264,211,193,227,475,420
Sáb,América,0–0,Monterrey,0,0,-1,363,310,198,246,673,444,354,254,181,257,608,438
Sáb,Tijuana,3–2,Pachuca,3,2,1,247,160,200,308,407,508,329,249,197,272,578,469
Sáb,UANL,3–0,FC Juárez,3,0,1,367,253,189,214,620,403,96,71,107,145,167,252
Dom,Santos,0–0,Atlético,0,0,-1,321,220,214,297,541,511,109,106,136,150,215,286
Dom,Toluca,1–2,UNAM,1,2,0,332,212,216,283,544,499,294,206,204,301,500,505
Sáb,Santos,2–0,Atlético,2,0,1,321,220,214,297,541,511,109,106,136,150,215,286
Sáb,Puebla,2–2,Guadalajara,2,2,-1,242,188,242,271,430,513,233,212,204,222,445,426
Dom,Cruz Azul,1–4,Monterrey,1,4,0,264,211,193,227,475,420,354,254,181,257,608,438
Mié,UNAM,0–0,América,0,0,-1,294,206,204,301,500,505,363,310,198,246,673,444
Mié,Monterrey,0–0,Atlas,0,0,-1,354,254,181,257,608,438,198,201,207,268,399,475
Jue,Puebla,2–1,León,2,1,1,242,188,242,271,430,513,332,240,225,278,572,503
Jue,Santos,2–1,UANL,2,1,1,321,220,214,297,541,511,367,253,189,214,620,403
Sáb,América,1–3,UNAM,1,3,0,363,310,198,246,673,444,294,206,204,301,500,505
Sáb,Atlas,1–1,Monterrey,1,1,-1,198,201,207,268,399,475,354,254,181,257,608,438
Dom,UANL,1–0,Santos,1,0,1,367,253,189,214,620,403,321,220,214,297,541,511
Dom,León,2–0,Puebla,2,0,1,332,240,225,278,572,503,242,188,242,271,430,513
Mié,UANL,2–1,León,2,1,1,367,253,189,214,620,403,332,240,225,278,572,503
Jue,UNAM,0–1,Atlas,0,1,0,294,206,204,301,500,505,198,201,207,268,399,475
Sáb,León,2–1,UANL,2,1,1,332,240,225,278,572,503,367,253,189,214,620,403
Dom,Atlas,0–1,UNAM,0,1,0,198,201,207,268,399,475,294,206,204,301,500,505
Jue,León,3–2,Atlas,3,2,1,332,240,225,278,572,503,198,201,207,268,399,475
Dom,Atlas,1–0,León,1,0,1,198,201,207,268,399,475,332,240,225,278,572,503
Jue,Atlético,0–2,Pachuca,0,2,0,109,106,136,150,215,286,329,249,197,272,578,469
Vie,FC Juárez,2–1,Necaxa,2,1,1,96,71,107,145,167,252,181,164,174,202,345,376
Vie,Puebla,1–1,América,1,1,-1,242,188,242,271,430,513,363,310,198,246,673,444
Sáb,Monterrey,0–0,Querétaro,0,0,-1,354,254,181,257,608,438,215,184,206,294,399,500
Sáb,Cruz Azul,2–0,Tijuana,2,0,1,264,211,193,227,475,420,247,160,200,308,407,508
Dom,Guadalajara,3–0,Mazatlán,3,0,1,233,212,204,222,445,426,90,76,96,137,166,233
Lun,UNAM,5–0,Toluca,5,0,1,294,206,204,301,500,505,332,212,216,283,544,499
Mié,Santos,1–1,UANL,1,1,-1,321,220,214,297,541,511,367,253,189,214,620,403
Sáb,Atlas,1–0,Atlético,1,0,1,198,201,207,268,399,475,109,106,136,150,215,286
Vie,Querétaro,1–3,UNAM,1,3,0,215,184,206,294,399,500,294,206,204,301,500,505
Vie,Necaxa,0–4,Monterrey,0,4,0,181,164,174,202,345,376,354,254,181,257,608,438
Dom,Toluca,3–1,Santos,3,1,1,332,212,216,283,544,499,321,220,214,297,541,511
Dom,Pachuca,2–1,Guadalajara,2,1,1,329,249,197,272,578,469,233,212,204,222,445,426
Sáb,UANL,0–2,Puebla,0,2,0,367,253,189,214,620,403,242,188,242,271,430,513
Sáb,Tijuana,1–1,León,1,1,-1,247,160,200,308,407,508,332,240,225,278,572,503
Sáb,Cruz Azul,1–0,FC Juárez,1,0,1,264,211,193,227,475,420,96,71,107,145,167,252
Mié,León,1–1,Atlas,1,1,-1,332,240,225,278,572,503,198,201,207,268,399,475
Jue,Atlético,0–1,FC Juárez,0,1,0,109,106,136,150,215,286,96,71,107,145,167,252
Sáb,Guadalajara,1–1,Querétaro,1,1,-1,233,212,204,222,445,426,215,184,206,294,399,500
Vie,Mazatlán,1–2,Toluca,1,2,0,90,76,96,137,166,233,332,212,216,283,544,499
Dom,UNAM,1–2,UANL,1,2,0,294,206,204,301,500,505,367,253,189,214,620,403
Sáb,León,2–1,Pachuca,2,1,1,332,240,225,278,572,503,329,249,197,272,578,469
Sáb,América,0–2,Atlas,0,2,0,363,310,198,246,673,444,198,201,207,268,399,475
Sáb,Monterrey,2–2,Cruz Azul,2,2,-1,354,254,181,257,608,438,264,211,193,227,475,420
Dom,Santos,1–4,Necaxa,1,4,0,321,220,214,297,541,511,181,164,174,202,345,376
Vie,Puebla,3–1,Tijuana,3,1,1,242,188,242,271,430,513,247,160,200,308,407,508
Sáb,Necaxa,1–3,Pachuca,1,3,0,181,164,174,202,345,376,329,249,197,272,578,469
Dom,Querétaro,0–2,Puebla,0,2,0,215,184,206,294,399,500,242,188,242,271,430,513
Sáb,América,2–3,Atlético,2,3,0,363,310,198,246,673,444,109,106,136,150,215,286
Sáb,Tijuana,1–0,UNAM,1,0,1,247,160,200,308,407,508,294,206,204,301,500,505
Dom,Atlas,2–1,Santos,2,1,1,198,201,207,268,399,475,321,220,214,297,541,511
Dom,UANL,4–3,Mazatlán,4,3,1,367,253,189,214,620,403,90,76,96,137,166,233
Lun,León,0–1,Cruz Azul,0,1,0,332,240,225,278,572,503,264,211,193,227,475,420
Mié,FC Juárez,1–3,Guadalajara,1,3,0,96,71,107,145,167,252,233,212,204,222,445,426
Sáb,Guadalajara,1–3,UANL,1,3,0,233,212,204,222,445,426,367,253,189,214,620,403
Sáb,Atlético,0–1,Toluca,0,1,0,109,106,136,150,215,286,332,212,216,283,544,499
Vie,Mazatlán,2–0,Tijuana,2,0,1,90,76,96,137,166,233,247,160,200,308,407,508
Vie,Puebla,1–1,Atlas,1,1,-1,242,188,242,271,430,513,198,201,207,268,399,475
Dom,UNAM,2–1,León,2,1,1,294,206,204,301,500,505,332,240,225,278,572,503
Sáb,Cruz Azul,1–2,Necaxa,1,2,0,264,211,193,227,475,420,181,164,174,202,345,376
Sáb,Santos,2–3,América,2,3,0,321,220,214,297,541,511,363,310,198,246,673,444
Lun,Pachuca,2–2,Querétaro,2,2,-1,329,249,197,272,578,469,215,184,206,294,399,500
Mié,Mazatlán,2–1,América,2,1,1,90,76,96,137,166,233,363,310,198,246,673,444
Sáb,Querétaro,2–0,Mazatlán,2,0,1,215,184,206,294,399,500,90,76,96,137,166,233
Vie,Puebla,1–0,Monterrey,1,0,1,242,188,242,271,430,513,354,254,181,257,608,438
Vie,Tijuana,1–1,Necaxa,1,1,-1,247,160,200,308,407,508,181,164,174,202,345,376
Vie,FC Juárez,0–0,Santos,0,0,-1,96,71,107,145,167,252,321,220,214,297,541,511
Dom,América,1–3,Pachuca,1,3,0,363,310,198,246,673,444,329,249,197,272,578,469
Sáb,UANL,2–1,Atlético,2,1,1,367,253,189,214,620,403,109,106,136,150,215,286
Sáb,León,2–1,Guadalajara,2,1,1,332,240,225,278,572,503,233,212,204,222,445,426
Dom,Toluca,1–4,Cruz Azul,1,4,0,332,212,216,283,544,499,264,211,193,227,475,420
Dom,Atlas,0–0,UNAM,0,0,-1,198,201,207,268,399,475,294,206,204,301,500,505
Jue,Pachuca,3–1,Mazatlán,3,1,1,329,249,197,272,578,469,90,76,96,137,166,233
Jue,Querétaro,1–1,Toluca,1,1,-1,215,184,206,294,399,500,332,212,216,283,544,499
Sáb,Monterrey,0–2,Atlético,0,2,0,354,254,181,257,608,438,109,106,136,150,215,286
Vie,Necaxa,0–1,León,0,1,0,181,164,174,202,345,376,332,240,225,278,572,503
Vie,Tijuana,2–0,Atlas,2,0,1,247,160,200,308,407,508,198,201,207,268,399,475
Vie,FC Juárez,2–3,UANL,2,3,0,96,71,107,145,167,252,367,253,189,214,620,403
Sáb,Guadalajara,2–3,Puebla,2,3,0,233,212,204,222,445,426,242,188,242,271,430,513
Sáb,UNAM,0–0,América,0,0,-1,294,206,204,301,500,505,363,310,198,246,673,444
Dom,Cruz Azul,1–2,Santos,1,2,0,264,211,193,227,475,420,321,220,214,297,541,511
Mar,Puebla,1–1,FC Juárez,1,1,-1,242,188,242,271,430,513,96,71,107,145,167,252
Mar,Toluca,1–2,Tijuana,1,2,0,332,212,216,283,544,499,247,160,200,308,407,508
Mar,Mazatlán,0–0,Necaxa,0,0,-1,90,76,96,137,166,233,181,164,174,202,345,376
Mar,América,1–1,Querétaro,1,1,-1,363,310,198,246,673,444,215,184,206,294,399,500
Mar,León,0–0,Monterrey,0,0,-1,332,240,225,278,572,503,354,254,181,257,608,438
Mié,Atlas,0–1,Pachuca,0,1,0,198,201,207,268,399,475,329,249,197,272,578,469
Mié,UANL,2–2,Cruz Azul,2,2,-1,367,253,189,214,620,403,264,211,193,227,475,420
Mié,Atlético,2–2,Guadalajara,2,2,-1,109,106,136,150,215,286,233,212,204,222,445,426
Mié,Santos,3–2,UNAM,3,2,1,321,220,214,297,541,511,294,206,204,301,500,505
Sáb,Querétaro,0–3,Atlas,0,3,0,215,184,206,294,399,500,198,201,207,268,399,475
Vie,Necaxa,0–1,Toluca,0,1,0,181,164,174,202,345,376,332,212,216,283,544,499
Vie,FC Juárez,0–1,León,0,1,0,96,71,107,145,167,252,332,240,225,278,572,503
Sáb,Monterrey,2–1,América,2,1,1,354,254,181,257,608,438,363,310,198,246,673,444
Sáb,Guadalajara,1–0,Santos,1,0,1,233,212,204,222,445,426,321,220,214,297,541,511
Sáb,Cruz Azul,1–3,Puebla,1,3,0,264,211,193,227,475,420,242,188,242,271,430,513
Sáb,León,0–3,UANL,0,3,0,332,240,225,278,572,503,367,253,189,214,620,403
Vie,Necaxa,1–0,Querétaro,1,0,1,181,164,174,202,345,376,215,184,206,294,399,500
Vie,FC Juárez,1–2,Atlas,1,2,0,96,71,107,145,167,252,198,201,207,268,399,475
Vie,Monterrey,2–1,Mazatlán,2,1,1,354,254,181,257,608,438,90,76,96,137,166,233
Dom,Toluca,0–3,Pachuca,0,3,0,332,212,216,283,544,499,329,249,197,272,578,469
Dom,Atlético,2–1,Puebla,2,1,1,109,106,136,150,215,286,242,188,242,271,430,513
Sáb,Cruz Azul,2–1,UNAM,2,1,1,264,211,193,227,475,420,294,206,204,301,500,505
Sáb,Guadalajara,0–0,América,0,0,-1,233,212,204,222,445,426,363,310,198,246,673,444
Dom,Santos,4–0,Tijuana,4,0,1,321,220,214,297,541,511,247,160,200,308,407,508
Mar,Monterrey,3–0,FC Juárez,3,0,1,354,254,181,257,608,438,96,71,107,145,167,252
Jue,Querétaro,2–1,Atlético,2,1,1,215,184,206,294,399,500,109,106,136,150,215,286
Sáb,UNAM,1–3,Necaxa,1,3,0,294,206,204,301,500,505,181,164,174,202,345,376
Vie,Puebla,2–2,Santos,2,2,-1,242,188,242,271,430,513,321,220,214,297,541,511
Dom,América,3–0,Toluca,3,0,1,363,310,198,246,673,444,332,212,216,283,544,499
Sáb,UANL,2–0,Monterrey,2,0,1,367,253,189,214,620,403,354,254,181,257,608,438
Sáb,Pachuca,1–0,Cruz Azul,1,0,1,329,249,197,272,578,469,264,211,193,227,475,420
Dom,Atlas,1–1,Guadalajara,1,1,-1,198,201,207,268,399,475,233,212,204,222,445,426
Dom,Mazatlán,1–2,León,1,2,0,90,76,96,137,166,233,332,240,225,278,572,503
Dom,Tijuana,1–0,FC Juárez,1,0,1,247,160,200,308,407,508,96,71,107,145,167,252
Sáb,UNAM,1–1,Mazatlán,1,1,-1,294,206,204,301,500,505,90,76,96,137,166,233
Sáb,Cruz Azul,1–0,Atlas,1,0,1,264,211,193,227,475,420,198,201,207,268,399,475
Vie,Atlético,1–0,Mazatlán,1,0,1,109,106,136,150,215,286,90,76,96,137,166,233
Dom,Toluca,2–1,Puebla,2,1,1,332,212,216,283,544,499,242,188,242,271,430,513
Dom,León,1–1,Querétaro,1,1,-1,332,240,225,278,572,503,215,184,206,294,399,500
