,dayofweek,home_team,home_xg,score,away_xg,away_team
219,Mar,Puebla,1.3,0–1,2.4,América
220,Mié,Necaxa,1.8,2–2,0.8,Monterrey
221,Jue,Atlas,1.5,1–3,2.0,Morelia
222,Sáb,Cruz Azul,2.3,3–1,1.0,Pachuca
223,Vie,Tijuana,1.9,1–1,0.8,Toluca
224,Vie,Puebla,2.3,2–2,1.3,Santos
225,Dom,UNAM,2.6,4–0,0.9,Atlético
226,Sáb,UANL,3.3,3–0,1.7,Guadalajara
227,Sáb,León,1.4,3–1,2.0,Monterrey
228,Dom,Querétaro,1.2,1–2,1.1,América
229,Dom,FC Juárez,0.9,2–1,0.5,Necaxa
230,Sáb,Pachuca,1.8,1–0,0.5,Puebla
231,Sáb,Toluca,1.8,2–3,2.6,UNAM
232,Vie,Atlético,3.0,3–1,0.8,León
233,Vie,Morelia,0.8,1–1,1.2,Tijuana
234,Dom,Necaxa,1.6,2–3,1.5,Querétaro
235,Sáb,América,1.0,2–0,1.1,Atlas
236,Sáb,Monterrey,2.8,1–1,0.8,FC Juárez
237,Sáb,Guadalajara,3.0,1–2,1.0,Cruz Azul
238,Dom,Santos,2.0,2–1,1.7,UANL
239,Sáb,León,0.7,2–1,1.1,Necaxa
240,Vie,Atlas,0.4,0–2,2.1,Pachuca
241,Vie,Tijuana,1.5,0–1,0.6,Guadalajara
242,Vie,Puebla,2.2,2–0,1.1,Toluca
243,Dom,UNAM,1.0,1–2,1.2,Morelia
244,Dom,Querétaro,0.3,0–1,0.7,Atlético
245,Sáb,Cruz Azul,1.2,2–1,1.5,UANL
246,Sáb,Monterrey,1.8,0–1,1.3,América
247,Dom,FC Juárez,1.7,1–2,1.2,Santos
248,Sáb,Pachuca,1.8,1–1,1.3,Querétaro
249,Vie,Atlético,1.2,0–3,1.3,FC Juárez
250,Vie,Toluca,0.7,2–0,1.9,Monterrey
251,Vie,Tijuana,0.8,0–1,0.2,Puebla
252,Vie,Morelia,3.0,2–4,3.1,Cruz Azul
253,Dom,Guadalajara,0.9,2–0,0.4,León
254,Sáb,América,0.3,0–3,1.5,Necaxa
255,Sáb,UANL,2.5,3–0,0.1,UNAM
256,Dom,Santos,1.8,1–0,0.6,Atlas
257,Sáb,Cruz Azul,3.1,4–2,0.7,Tijuana
258,Sáb,Monterrey,1.8,2–2,1.4,Atlético
259,Vie,Querétaro,1.2,1–1,1.3,Toluca
260,Vie,UNAM,1.7,3–3,1.1,América
261,Vie,Puebla,0.1,0–0,0.8,UANL
262,Dom,Necaxa,1.0,1–2,1.6,Morelia
263,Sáb,Pachuca,1.4,1–0,1.0,Santos
